l aemulat -,[ˈae̯.mʊ.ɫɔr],aemulor,0
105600,c2830,compertusio,n,n-s---fn3-,compertusion,[kɔm.pɛr.'t̪ʊ.sɪ̣.jɔ],compertusio,0
21263,c2836,competo,v,v1spia--3-,compet competiu competit,['kɔm.pɛ.t̪ɔ],competo,1
44789,c2843,compitalicius,a,aps---mn1-,compitalici compitalici compitalici,[kɔm.pɪ.taːˈlɪ.ki.ʊs],compitalicius,0
21271,c2859,completorium,n,n-s---nn2-,completori,[kɔm.plɛ.'t̪ɔ.rɪ̣.jũː],completorium,1
105632,c2883,comportatrix,n,n-s---fn3-,comportatric,[kɔm.'pɔr.t̪a.t̪rɪks],comportatrix,0
21279,c2887,compositicius,a,aps---mn1-,compositici compositici compositici,[kɔm.pɔ.sɪ.'t̪ɪ.kɪ̣.jʊs],compositicius,1
52183,c2889,compositiuus,a,aps---mn1-,compositiu compositiu compositiu,[kɔm.pɔ.'sɪ.t̪ɪ.wʊs],compositiuus,0
21290,c9876,compressus,n,n-s---mn4-,compress,['kɔm.prɛ.ssʊs],compressus,1
105654,c2911,compromissarius,a,aps---mn1-,compromissari compromissari compromissari,[kɔm.prɔ.mɪ.'ssa.rɪ̣.jʊs],compromissarius,0
97961,c2915,comptionalis,a,aps---cn3i,comptional comptional comptional,[kɔmp.t̪ɪ̣.'jɔ.n̪a.lɪs],comptionalis,0
21298,c2924,compunctio,n,n-s---fn3-,compunction,[kɔm.'pʊŋk.t̪ɪ̣.jɔ],compunctio,1
105672,c2936,conabilis,a,aps---cn3i,conabil conabil conabil,[kɔ.'n̪a.bɪ.lɪs],conabilis,0
21306,c9878,conatus,n,n-s---mn4-,conat,[koː.'n̪aː.t̪ʊs],conatus,1
44054,c2950,concalfactorius,a,aps---mn1-,concalfactori concalfactori concalfactori,[kɔŋ.kaɫ.fak.'t̪ɔ.rɪ̣.jʊs],concalfactorius,0
40458,c2955,concandefacio,v,v1spia--3i,concandefac concandefec concandefact,[kɔŋ.kan̪.d̪ɛ.'fa.kɪ̣.jɔ],concandefacio,0
21313,c2960,concarno,v,v1spia--1-,concarn concarnau concarnat,[kɔŋ.'kar.n̪ɔ],concarno,1
105692,c2965,concauitas,n,n-s---fn3-,concauitat,[kɔŋ.'ka.wɪ.t̪as],concauitas,0
51348,c2977,concenturio,v,v1spia--1-,concenturi concenturiau concenturiat,[kɔŋ.kɛn̪.'t̪ʊ.rɪ̣.jɔ],concenturio,0
21321,c2978,conceptaculum,n,n-s---nn2-,conceptacul,[kɔŋ.kɛp.'t̪a.kʊ.ɫũː],conceptaculum,1
105705,c2984,conceptorius,a,aps---mn1-,conceptori conceptori conceptori,[kɔŋ.kɛp.'t̪ɔ.rɪ̣.jʊs],conceptorius,0
21327,c2990,concertator,n,n-s---mn3-,concertator,[kɔŋ.'kɛr.t̪a.t̪ɔr],concertator,1
105716,c3003,conchita,n,n-s---mn1-,conchit,['kɔŋ.kʰɪ.t̪a],conchita,0
32437,c3005,conchylilegulus,n,n-s---mn2-,conchylilegul,[kɔŋ.kʰy.'lɪ.lɛ.gʷlʊs],conchylilegulus,0
21336,c3014,conciliabulum,n,n-s---nn2-,conciliabul,[kɔŋ.kɪ.lɪˈaː.bʊ.ɫũ],conciliabulum,1
33578,c3018,conciliatrix,n,n-s---fn3-,conciliatric,[kɔŋ.kɪ.'lɪ̣.ja.t̪rɪks],conciliatrix,0
51272,c3019,conciliciatus,a,aps---mn1-,conciliciat conciliciat conciliciat,[kɔŋ.kɪ.lɪ.'kɪ̣.ja.t̪ʊs],conciliciatus,0
21344,c3029,concinnitudo,n,n-s---fn3-,concinnitudin,[kɔŋ.kɪn̪.'n̪ɪ.t̪ʊ.d̪ɔ],concinnitudo,1
21345,c3030,concinno,v,v1spia--1-,concinn concinnau concinnat,[kɔŋ.'kɪn̪.n̪ɔ],concinno,1
21356,c3042,concito,v,v1spia--1-,concit concitau concitat,['kɔŋ.kɪ.t̪ɔ],concito,1
36491,c3046,conclamito,v,v1spia--1-,conclamit conclamitau conclamitat,[kɔŋ.'kla.mɪ.t̪ɔ],conclamito,0
105739,c3048,conclauatus,a,aps---mn1-,conclauat conclauat conclauat,[kɔŋ.'kla.wa.t̪ʊs],conclauatus,0
132343,c3059,concomitor,v,v1spid--1-,concomit concomitat -,[kɔŋˈkɔ.mɪ.tɔr],concomitor,0
21368,c3060,concoquo,v,v1spia--3-,concoqu concox concoct,[ˈkɔŋ.kɔ.kʷoː],concoquo,1
43382,c3069,concorporificatus,a,aps---mn1-,concorporificat concorporificat concorporificat,[kɔŋ.kɔr.pɔ.rɪ.'fɪ.ka.t̪ʊs],concorporificatus,0
105758,c3073,concrebresco,v,v1spia--3-,concrebresc concrebru -,[kɔŋ.'krɛ.brɛ.skɔ],concrebresco,0
47873,c3074,concredo,v,v1spia--3-,concred concredid concredit,[kɔŋˈkreː.doː],concredo,0
21375,c9949,concrescentia,n,n-s---fn1-,concrescenti,[kɔŋ.krɛ.'skɛ.n̪t̪ɪ̣.ja],concrescentia,1
132860,c3084,concriminor,v,v1spid--1-,concrimin concriminat -,[kɔŋ.'krɪ.mɪ.n̪ɔr],concriminor,0
105773,c3095,concubitalis,a,aps---cn3i,concubital concubital concubital,[kɔŋ.kʊ.'bɪ.t̪a.lɪs],concubitalis,0
21383,c3101,conculco,v,v1spia--1-,conculc conculcau conculcat,[kɔŋˈkʊɫ.koː],conculco,1
105776,c3102,concultus,a,aps---mn1-,concult concult concult,[kɔŋ.'kʊɫ.t̪ʊs],concultus,0
105581,c2793,compassibilis,a,aps---cn3i,compassibil compassibil compassibil,[kɔm.pas.'sɪ.bɪ.lɪs],compassibilis,0
46159,c3147,condescendo,v,v1spia--3-,condescend condescend condescens,[kɔn.deːsˈkɛn.doː],condescendo,0
105815,c3160,condimentaria,n,n-p---nn2-,condimentari,[kɔn̪.d̪ɪ.mɛn̪.'t̪a.rɪ̣.ja],condimentaria,0
21451,c3235,confio,v,v1spia--3i,- - -,[kõːˈfiː.oː],confio,0
21407,c3161,condimentum,n,n-s---nn2-,condiment,[kɔn.diːˈmɛn.tũ],condimentum,1
21420,c3182,condono,v,v1spia--1-,condon condonau condonat,[kɔnˈdoː.noː],condono,1
97977,c3185,conducibilis,a,aps---cn3i,conducibil conducibil conducibil,[kɔn̪.d̪ʊ.'kɪ.bɪ.lɪs],conducibilis,0
34378,c3195,conduplicatio,n,n-s---fn3-,conduplication,[kɔn̪.d̪ʊ.plɪ.'ka.t̪ɪ̣.jɔ],conduplicatio,0
105836,c3200,condyloma,n,n-s---nn3-,condylomat,[kɔn̪.'d̪y.lɔ.ma],condyloma,0
21429,c3201,conecto,v,v1spia--3-,conect conexu conex,[koːˈnɛk.toː],conecto,1
105840,c3209,confamulans,a,aps---an3i,confamulant confamulant confamulant,['kɔːn̪fa.mʊ.laːn̪s],confamulans,0
57625,c3212,confarreatio,n,n-s---fn3-,confarreation,[kɔːn̪far.rɛ̣.'ja.t̪ɪ̣.jɔ],confarreatio,1
21436,c3216,confector,n,n-s---mn3-,confector,['kɔːn̪fɛk.t̪ɔr],confector,1
57765,c3220,confercio,v,v1spia--4-,conferc confers confert,[kõːˈfɛr.ki.oː],confercio,1
40326,c3229,confessorius,a,aps---mn1-,confessori confessori confessori,[kɔːn̪fɛs.'sɔ.rɪ̣.jʊs],confessorius,0
21443,c3237,conficto,v,v1spia--1-,confict confictau confictat,['kɔːn̪fɪk.t̪ɔ],conficto,1
105864,c3246,confindo,v,v1spia--3-,confind confid confiss,['kɔːn̪fɪn̪.d̪ɔ],confindo,0
21466,c3278,conflicto,v,v1spia--1-,conflict - conflictat,[kõːˈflɪk.toː],conflicto,1
48799,c3287,confluus,a,aps---mn1-,conflu conflu conflu,['kɔːn̪flʊ.jʊs],confluus,0
21473,c3290,confoederatio,n,n-s---fn3-,confoederation,[kɔːn̪fojd̪ɛ.'ra.t̪ɪ̣.jɔ],confoederatio,1
105887,c3293,confoedo,v,v1spia--1-,confoed confoedau confoedat,['kɔːn̪fojd̪ɔ],confoedo,0
21475,c3301,conformo,v,v1spia--1-,conform conformau conformat,[kõːˈfoːr.moː],conformo,1
105903,c9897,confractus,n,n-s---mn4-,confract,['kɔːn̪frak.t̪ʊs],confractus,0
21484,c3327,confulgeo,v,v1spia--2-,confulg - -,[kõːˈfʊɫ.ɡe.oː],confulgeo,1
105920,c3339,congarrio,v,v1spia--4-,congarr congarriu congarrit,[kɔŋ.'gar.rɪ̣.jɔ],congarrio,0
21493,c3345,congemino,v,v1spia--1-,congemin congeminau congeminat,[kɔŋ.'gɛ.mɪ.n̪ɔ],congemino,1
21501,c3368,congiarium,n,n-s---nn2-,congiari,[kɔŋ.gɪ̣.'ja.rɪ̣.jũː],congiarium,1
132351,c3386,congredior,v,v1spid--3i,congred congress -,[kɔŋˈɡrɛ.di.ɔr],congredior,0
21509,c3393,congrego,v,v1spia--1-,congreg congregau congregat,[ˈkɔŋ.ɡrɛ.ɡoː],congrego,1
105947,c3399,congruitas,n,n-s---fn3-,congruitat,['kɔŋ.gru.jt̪as],congruitas,0
53403,c3407,coniectarius,a,aps---mn1-,cocain cocain cocain,[kɔn.jɛkˈtaː.ri.ʊs],coniectarius,0
97991,c3415,conifer,a,aps---mn1r,conifer conifer conifer,['kɔ.n̪ɪ.fɛr],conifer,0
105962,c3421,coniugus,a,aps---mn1-,coniug coniug coniug,['kɔ.n̪ɪ̣.jʊgʷs],coniugus,0
105964,c3439,coniurator,n,n-s---mn3-,coniurator,[kɔ.n̪ɪ̣.'jʊ.ra.t̪ɔr],coniurator,0
21522,c9903,conquestus,n,n-s---mn4-,conquest,[kɔŋ.'kʷɛs.t̪ʊs],conquestus,1
40800,c3462,consalutatio,n,n-s---fn3-,consalutation,[kɔːn̪sa.lʊ.'t̪a.t̪ɪ̣.jɔ],consalutatio,0
21530,c3463,consaluto,v,v1spia--1-,consalut consalutau consalutat,[kõː.saˈɫuː.toː],consaluto,1
21538,c3476,conscisco,v,v1spia--3-,conscisc consciu conscit,[kõːˈskiːs.koː],conscisco,1
29904,c3477,conscissio,n,n-s---fn3-,conscission,['kɔːn̪skɪs.sɪ̣.jɔ],conscissio,0
28310,c3480,conscribillo,v,v1spia--1-,conscribill conscribillau conscribillat,[kõː.skriːˈbɪl.loː],conscribillo,0
21539,c3481,conscribo,v,v1spia--3-,conscrib conscrips conscript,[kõːˈskriː.boː],conscribo,1
21540,c3482,conscriptio,n,n-s---fn3-,conscription,['kɔːn̪skrɪp.t̪ɪ̣.jɔ],conscriptio,1
28969,c3488,consecratrix,n,n-s---fn3-,consecratric,['kɔːn̪sɛ.kra.t̪rɪks],consecratrix,0
47224,c3490,consectaneus,a,aps---mn1-,consectane consectane consectane,[kõː.sɛkˈtaː.ne.ʊs],consectaneus,0
21546,c3491,consectarius,a,aps---mn1-,consectari consectari consectari,[kõː.sɛkˈtaː.ri.ʊs],consectarius,1
41173,c3500,consedo,v,v1spia--1-,consed consedau consedat,['kɔːn̪sɛ.d̪ɔ],consedo,0
132370,c3514,consequor,v,v1spid--3-,consequ consecut -,[ˈkõː.sɛ.kʷɔr],consequor,0
21559,c3522,conseruatio,n,n-s---fn3-,conseruation,[kõː.sɛrˈwaː.ti.oː],conseruatio,1
105797,c3133,condecurialis,n,n-s---mn3i,condecurial,[kɔn̪.d̪ɛ.kʊ.'rɪ̣.ja.lɪs],condecurialis,0
39525,c6529,consilesco,v,v1spia--3-,consilesc consilu -,[kõː.sɪˈɫeːs.koː],consilesco,0
21585,c3569,consolo,v,v1spia--1-,consol consolau consolat,[kõːˈsoː.ɫoː],consolo,1
98008,c3599,conspondeo,v,v1spia--2-,conspond conspond conspons,['kɔːn̪spɔn̪.d̪ɛ̣.jɔ],conspondeo,0
35579,c6530,consiliarius,n,n-s---mn2-,consiliari,[kõː.sɪ.lɪˈaː.ri.ʊs],consiliarius,0
21576,c3553,consociatio,n,n-s---fn3-,consociation,[kɔːn̪sɔ.kɪ̣.'ja.t̪ɪ̣.jɔ],consociatio,1
106065,c3576,consororinus,a,aps---mn1-,consororin consororin consororin,[kɔːn̪sɔ.'rɔ.rɪ.n̪ʊs],consororinus,0
21597,c3583,conspergo,v,v1spia--3-,consperg conspers conspers,[kõːˈspɛr.ɡoː],conspergo,1
35286,c3586,conspicabundus,a,aps---mn1-,conspicabund conspicabund conspicabund,[kõː.spɪ.kaːˈbʊn.dʊs],conspicabundus,0
21605,c4835,conspiro,v,v1spia--1-,conspir conspirau conspirat,[kõːˈspiː.roː],conspiro,1
106086,c3597,conspolio,v,v1spia--1-,conspoli conspoliau conspoliat,['kɔːn̪spɔ.lɪ̣.jɔ],conspolio,0
40128,c3603,consputo,v,v1spia--1-,consput consputau consputat,['kɔːn̪spʊ.t̪ɔ],consputo,0
21606,c3604,constabilio,v,v1spia--4-,constabil constabiliu constabilit,[kõː.staˈbɪ.li.oː],constabilio,1
36012,c3608,constellatus,a,aps---mn1-,constellat constellat constellat,['kɔːn̪st̪ɛɫ.la.t̪ʊs],constellatus,0
33669,c3612,constibilis,a,aps---cn3i,constibil constibil constibil,['kɔːn̪st̪ɪ.bɪ.lɪs],constibilis,0
21615,c9908,constitutum,n,n-s---nn2-,constitut,[koːn̪s.t̪ɪ.'t̪uː.t̪ũː],constitutum,1
48240,c3619,constratum,n,n-s---nn2-,constrat,['kɔːn̪st̪ra.t̪ũː],constratum,0
21623,c3631,constuprator,n,n-s---mn3-,constuprator,['kɔːn̪st̪ʊ.pra.t̪ɔr],constuprator,1
106141,c3679,contaminabilis,a,aps---cn3i,contaminabil contaminabil contaminabil,[kɔn̪.t̪a.mɪ.'n̪a.bɪ.lɪs],contaminabilis,0
42652,c3682,contaminator,n,n-s---mn3-,contaminator,[kɔn̪.t̪a.'mɪ.n̪a.t̪ɔr],contaminator,0
36782,c3691,contemperatio,n,n-s---fn3-,contemperation,[kɔn̪.t̪ɛm.pɛ.'ra.t̪ɪ̣.jɔ],contemperatio,0
32033,c3694,contemplabundus,a,aps---mn1-,contemplabund contemplabund contemplabund,[kɔn.tɛm.pɫaːˈbʊn.dʊs],contemplabundus,0
21653,c3698,contemplator,n,n-s---mn3-,contemplator,[kɔn̪.'t̪ɛm.pla.t̪ɔr],contemplator,1
55317,c3704,contemporaneus,a,aps---mn1-,contemporane contemporane contemporane,[kɔn̪.'t̪ɛm.pɔ.ran̪ews],contemporaneus,0
106168,c3714,contenebratio,n,n-s---fn3-,contenebration,[kɔn̪.t̪ɛ.n̪ɛ.'bra.t̪ɪ̣.jɔ],contenebratio,0
98015,c3723,conterminus,a,aps---mn1-,contermin contermin contermin,[kɔn̪.'t̪ɛr.mɪ.n̪ʊs],conterminus,0
21664,c3726,contero,v,v1spia--3-,conter contriu contrit,[ˈkɔn.tɛ.roː],contero,1
31408,c3730,contesseratio,n,n-s---fn3-,contesseration,[kɔn̪.t̪ɛs.sɛ.'ra.t̪ɪ̣.jɔ],contesseratio,0
132871,c3734,contestificor,v,v1spid--1-,contestific contestificat -,[kɔn̪.t̪ɛs.'t̪ɪ.fɪ.kɔr],contestificor,0
106190,c3773,contingentia,n,n-s---fn1-,contingenti,[kɔn̪.t̪ɪŋ.'gɛn̪.t̪ɪ̣.ja],contingentia,0
21675,c3754,continuatio,n,n-s---fn3-,continuation,[kɔn̪.t̪ɪ.n̪ʊ.'ja.t̪ɪ̣.jɔ],continuatio,1
43779,c3755,continuatiuus,a,aps---mn1-,continuatiu continuatiu continuatiu,[kɔn̪.t̪ɪ.n̪ʊ.'ja.t̪ɪ.wʊs],continuatiuus,0
132379,c3752,continuor,v,v1spid--1-,continu continuat -,[kɔn̪.'t̪ɪ.n̪ʊ.jɔr],continuor,0
106193,c3761,contionabilis,a,aps---cn3i,contionabil contionabil contionabil,[kɔn̪.t̪ɪ̣.jɔ.'n̪a.bɪ.lɪs],contionabilis,0
29465,c3760,contionabundus,a,aps---mn1-,contionabund contionabund contionabund,[kɔn.ti.oː.naːˈbʊn.dʊs],contionabundus,0
106197,c3771,contomonobolon,n,n-s---nn2g,contomonobol,[kɔn̪.t̪ɔ.mɔ.'n̪ɔ.bɔ.lɔn̪],contomonobolon,0
50981,c3790,contradictorius,a,aps---mn1-,contradictori contradictori contradictori,/kon.traː.dikˈtoː.ri.us/,contradictorius,0
21686,c3794,contraho,v,v1spia--3-,contrah contrax contract,[ˈkɔn.tra.hoː],contraho,1
34790,c3803,contrascriptor,n,n-s---mn3-,contrascriptor,[kɔn̪.'t̪ra.skrɪ.pt̪ɔr],contrascriptor,0
21692,c3817,contribulo,v,v1spia--1-,contribul contribulau contribulat,[kɔnˈtrɪ.bʊ.ɫoː],contribulo,1
110264,f9042,facialia,n,n-p---nn3i,facial,[fa.kɪ̣.'ja.lɪ̣.ja],facialia,0
21568,c6528,consigno,v,v1spia--1-,consign consignau consignat,[kõːˈsɪŋ.noː],consigno,1
31577,c6643,consuefio,v,v1spia--3-,consuef - consuefact,[kɔːn̪sʊ.'jɛ.fɪ̣.jɔ],consuefio,0
30250,c3833,contrunco,v,v1spia--1-,contrunc contruncau contruncat,['kɔn̪.t̪rʊ.ŋkɔ],contrunco,0
21776,c3978,copulo,v,v1spia--1-,copul copulau copulat,/ˈkoː.pu.loː/,copulo,1
106496,c4260,crataegon,n,n-s---mn3-,crataegon,[kra.'t̪aj.gɔn̪],crataegon,1
40025,c4184,cosmicos,a,aps---mn1g,cosmic cosmic cosmic,['kɔs.mɪ.kɔs],cosmicos,0
42342,c3835,contubernius,n,n-s---mn2-,contuberni,[kɔn̪.t̪ʊ.'bɛr.n̪ɪ̣.jʊs],contubernius,0
21713,c3843,contumulo,v,v1spia--1-,contumul contumulau contumulat,[kɔn̪.'t̪ʊ.mʊ.lɔ],contumulo,1
106254,c3849,conturmo,v,v1spia--1-,conturm conturmau conturma,[kɔn̪.'t̪ʊr.mɔ],conturmo,0
21724,c9968,conualescentia,n,n-s---fn1-,conualescenti,[kɔ.n̪ʊ.ja.lɛs.'kɛn̪.t̪ɪ̣.ja],conualescentia,1
106261,c3859,conuario,v,v1spia--1-,conuari conuariau conuaria,[kɔ.n̪ʊ.'ja.rɪ̣.jɔ],conuario,0
21733,c3893,conuenientia,n,n-s---fn1-,conuenienti,/kon.we.niˈen.ti.a/,conuenientia,1
21736,c9969,conuentum,n,n-s---nn2-,conuent,[kɔ.n̪ʊ.'jɛn̪.t̪ũː],conuentum,1
21739,c3880,conuerbero,v,v1spia--1-,conuerber conuerberau conuerberat,[kɔ.n̪ʊ.'jɛr.bɛ.rɔ],conuerbero,1
30310,c3887,conuersio,n,n-s---fn3-,conuersion,[kɔ.n̪ʊ.'jɛr.sɪ̣.jɔ],conuersio,0
106278,c3890,conuertibilis,a,aps---cn3i,conuertibil conuertibil conuertibil,[kɔ.n̪ʊ.jɛr.'t̪ɪ.bɪ.lɪs],conuertibilis,0
21751,c3909,conuinco,v,v1spia--3-,conuinc conuic conuict,[kɔnˈwɪŋ.koː],conuinco,1
106302,c3930,conuocium,n,n-s---nn2-,conuoci,[kɔ.n̪ʊ.'jɔ.kɪ̣.jũː],conuocium,0
21758,c3934,conuoluo,v,v1spia--3-,conuolu conuolu conuolut,[kɔnˈwɔɫ.woː],conuoluo,1
106316,c3946,cooperarius,a,aps---mn1-,cooperari cooperari cooperari,[kɔ.jɔ.pɛ.'ra.rɪ̣.jʊs],cooperarius,0
106317,c3946,cooperarius,n,n-s---mn2-,cooperari,[kɔ.jɔ.pɛ.'ra.rɪ̣.jʊs],cooperarius,0
21765,c3954,cooptatio,n,n-s---fn3-,cooptation,[kɔ.jɔp.'t̪a.t̪ɪ̣.jɔ],cooptatio,1
106341,c3983,coquinarius,a,aps---mn1-,coquinari coquinari coquinari,[kɔ.kʷɪ.'n̪a.rɪ̣.jʊs],coquinarius,0
33456,c1115,coquinatorium,n,n-s---nn2-,coquinatori,[kɔ.kʷɪ.n̪a.'t̪ɔ.rɪ̣.jũː],coquinatorium,0
29299,c3988,coquitatio,n,n-s---fn3-,coquitation,[kɔ.kʷɪ.'t̪a.t̪ɪ̣.jɔ],coquitatio,0
21784,c3997,coracino,v,v1spia--1-,coracin coracinau coracinat,[kɔ.'ra.kɪ.n̪ɔ],coracino,1
37983,c3998,coracinus,a,aps---mn1-,coracin coracin coracin,[kɔ.'ra.kɪ.n̪ʊs],coracinus,0
106361,c4031,coriandratum,n,n-s---nn2-,coriandrat,[kɔ.rɪ̣.'jan̪.d̪ra.t̪ũː],coriandratum,0
132393,c4044,cornicor,v,v1spid--1-,cornic cornicat -,['kɔr.n̪ɪ.kɔr],cornicor,0
21797,c4045,cornicula,n,n-s---fn1-,cornicul,[kɔr.'n̪ɪ.kʊ.la],cornicula,1
21802,c4063,cornutus,a,aps---mn1-,cornut cornut cornut,[kɔrˈnuː.tʊs],cornutus,1
106382,c4070,coronamen,n,n-s---nn3-,coronamin,[kɔ.'rɔ.n̪a.mɛn̪],coronamen,0
106383,c4076,coroniola,n,n-s---fn1-,coroniol,[kɔ.rɔ.'n̪ɪ̣.jɔ.la],coroniola,0
21810,c4092,corpusculum,n,n-s---nn2-,corpuscul,[kɔrˈpʊs.kʊ.ɫũ],corpusculum,1
106395,c4100,corregno,v,v1spia--1-,corregn corregnau corregna,[kɔr.'rɛŋ.n̪ɔ],corregno,0
51066,c4101,correpo,v,v1spia--3-,correp correps corrept,[kɔrˈreː.poː],correpo,0
21817,c4120,corroboro,v,v1spia--1-,corrobor corroborau corroborat,[kɔrˈroː.bɔ.roː],corroboro,1
106417,c4133,corruptibilis,a,aps---cn3i,corruptibil corruptibil corruptibil,[kɔr.rʊp.'t̪ɪ.bɪ.lɪs],corruptibilis,0
21828,c4144,cortex,n,n-s---cn3-,cortic,[ˈkɔr.tɛks],cortex,1
21833,c4177,corymbus,n,n-s---mn2-,corymb,[kɔ.'rym.bʊs],corymbus,1
106441,c4182,cosmetes,n,n-s---mn1g,cosmet,['kɔs.mɛ.t̪ɛs],cosmetes,0
106448,c4192,cossis,n,n-s---mn3i,coss,['kɔs.sɪs],cossis,0
106453,c4197,costilatus,a,aps---mn1-,costilat costilat costilat,[kɔs.'t̪ɪ.la.t̪ʊs],costilatus,0
21843,c4225,coxendix,n,n-s---fn3-,coxendic,[kɔk.'sɛn̪.d̪ɪks],coxendix,1
21849,c4242,crassamen,n,n-s---nn3-,crassamin,['kras.sa.mɛn̪],crassamen,1
106488,c4244,crassatio,n,n-s---fn3-,crassation,[kras.'sa.t̪ɪ̣.jɔ],crassatio,0
21858,c4266,craticula,n,n-s---fn1-,craticul,[kraː.'t̪ɪ.kʊ.laː],craticula,1
21866,c4279,crebresco,v,v1spia--3-,crebresc crebru -,[kreːˈbrɛs.koː],crebresco,1
106518,c4297,cremento,v,v1spia--1-,crement crementau crementa,[krɛ.'mɛn̪.t̪ɔ],cremento,0
21878,c4298,crementum,n,n-s---nn2-,crement,[krɛ.'mɛn̪.t̪ũː],crementum,1
21884,c4322,crepito,v,v1spia--1-,crepit crepitau crepitat,[ˈkrɛ.pɪ.toː],crepito,1
21702,c3830,controuersus,a,aps---mn1-,controuers controuers controuers,[kɔn.troːˈwɛr.sʊs],controuersus,1
41248,c4346,cribrarius,a,aps---mn1-,cribrari cribrari cribrari,[krɪ.'bra.rɪ̣.jʊs],cribrarius,0
21994,c4710,curriculum,n,n-s---nn2-,curricul,[kʊrˈrɪ.kʊ.ɫũ],curriculum,1
106720,c4767,cyanus,n,n-s---mn2-,cyan,['ky.ja.n̪ʊs],cyanus,0
56302,c4799,cymbalistes,n,n-s---mn1g,cymbalist,[kym.ba.'lɪs.t̪a],cymbalistes,0
21910,c4403,crocodilus,n,n-s---mn2-,crocodil,[krɔ.kɔˈdiː.ɫʊs],crocodilus,1
21976,c4636,cuniculus,n,n-s---mn2-,cunicul,[kʊˈniː.kʊ.ɫʊs],cuniculus,1
21901,c4355,criminosus,a,aps---mn1-,criminos criminos criminos,[kriː.mɪˈnoː.sʊs],criminosus,1
106553,c4371,crispisulcans,a,aps---an3i,crispisulcant crispisulcant crispisulcant,[krɪs.pɪ.'sʊɫ.kaːn̪s],crispisulcans,0
52339,c4384,criticus,a,aps---mn1-,critic critic critic,[ˈkrɪ.tɪ.kʊs],criticus,0
39301,c4390,croccio,v,v1spia--4-,crocc - -,['krɔk.kɪ̣.jɔ],croccio,0
21917,c4427,cruciator,n,n-s---mn3-,cruciator,[krʊ.'kɪ̣.ja.t̪ɔr],cruciator,1
106579,c4435,crucistultitia,n,n-s---fn1-,crucistultiti,[krʊ.kɪs.t̪ʊɫ.'t̪ɪ.t̪ɪ̣.ja],crucistultitia,0
98051,c4440,crudelis,a,aps---cn3i,crudel crudel crudel,[kruː.'d̪eː.lɪs],crudelis,0
21924,c4447,crudus,a,aps---mn1-,crud crud crud,/ˈkruːdus/,crudus,1
48494,c4455,cruppellarius,n,n-s---mn2-,cruppellari,[krʊp.pɛɫ.'la.rɪ̣.jʊs],cruppellarius,0
106593,c4469,crustata,n,n-p---nn2-,crustat,['krʊs.t̪a.t̪a],crustata,0
21934,c4471,crypta,n,n-s---fn1-,crypt,['kryp.t̪a],crypta,1
38614,c4478,crystalloides,a,aps---an3-,crystalloid crystalloid crystalloid,[krys.t̪aɫ.'lɔ.jɪ.d̪ɛs],crystalloides,0
36853,c4483,cubicularius,a,aps---mn1-,cubiculari cubiculari cubiculari,[kʊ.bɪ.kʊˈɫaː.ri.ʊs],cubicularius,0
49719,c7326,cubicularius,n,n-s---mn2-,cubiculari,[kʊ.bɪ.kʊˈɫaː.ri.ʊs],cubicularius,0
48526,c4484,cubiculatus,a,aps---mn1-,cubiculat cubiculat cubiculat,[kʊ.bɪ.kʊˈɫaː.tʊs],cubiculatus,0
21938,c4491,cubito,v,v1spia--1-,cubit cubitau cubitat,['kʊ.bɪ.t̪ɔ],cubito,1
28992,c4492,cubitor,n,n-s---mn3-,cubitor,['kʊ.bɪ.t̪ɔr],cubitor,0
21943,c4505,cucullus,n,n-s---mn2-,cucull,[kʊˈkʊl.lʊs],cucullus,1
21946,c4524,cudo,v,v1spia--3-,cud cud cus,/ˈkuː.doː/,cudo,1
43612,c4533,cuiusdammodi,r,rp--------,pannuce,[kʊj.jʊs.'d̪a.mmɔ.d̪ɪ],cuiusdammodi,0
48042,c4554,culliolum,n,n-s---nn2-,culliol,[kʊɫ.'lɪ̣.jɔ.ɫũː],culliolum,0
106635,c4559,culmino,v,v1spia--1-,culmin culminau culmina,['kʊɫ.mɪ.n̪ɔ],culmino,0
21952,c4564,culpatio,n,n-s---fn3-,culpation,[kʊɫ.'pa.t̪ɪ̣.jɔ],culpatio,1
52514,c4576,cultrix,n,n-s---fn3-,cultric,[ˈkʊɫ.triːks],cultrix,0
21959,c9831,cultus,n,n-s---mn4-,cult,['kʊɫ.t̪uːs],cultus,1
38714,c4691,cuminatus,a,aps---mn1-,cuminat cuminat cuminat,[kʊ.'mɪ.n̪a.t̪ʊs],cuminatus,0
106647,c4590,cummatus,a,aps---mn1-,cummat cummat cummat,['kʊ.mma.t̪ʊs],cummatus,0
21969,c4604,cumulo,v,v1spia--1-,cumul cumulau cumulat,/ˈku.mu.loː/,cumulo,1
106655,c4611,cunctalis,a,aps---cn3i,cunctal cunctal cunctal,['kʊŋk.t̪a.lɪs],cunctalis,0
21987,c4676,curator,n,n-s---mn3-,curator,['kʊ.ra.t̪ɔr],curator,1
98072,c4681,curculio,n,n-s---mn3-,curculion,[kʊr.'kʊ.lɪ̣.jɔ],curculio,0
106681,c4682,curculiunculus,n,n-s---mn2-,curculiuncul,[kʊr.kʊ.lɪ̣.'jʊŋ.kʊ.lʊs],curculiunculus,0
40272,c1359,cursorius,a,aps---mn1-,cursori cursori cursori,[kʊrˈsoː.ri.ʊs],cursorius,0
